
1000 0.000175178
2000 0.000442308
3000 0.000633921
4000 0.0011282
5000 0.00113243
6000 0.00150932
7000 0.00137207
8000 0.00154617
9000 0.00206508
10000 0.00216235
11000 0.00249995
12000 0.00279164
13000 0.00251344
14000 0.00289217
15000 0.00299122
16000 0.00342269
17000 0.00356351
18000 0.00420246
19000 0.00486726
20000 0.00450186
21000 0.00551136
22000 0.00510252
23000 0.00550632
24000 0.00607925
25000 0.00635277
26000 0.00673021
27000 0.00748844
28000 0.00626344
29000 0.0067992
30000 0.00702867
31000 0.00808129
32000 0.00691551
33000 0.00809563
34000 0.00759279
35000 0.0081486
36000 0.011933
37000 0.00863342
38000 0.00883814
39000 0.0111385
40000 0.0101272
41000 0.0104254
42000 0.0102505
43000 0.0105821
44000 0.0114274
45000 0.0114185
46000 0.0116659
47000 0.017348
48000 0.0152724
49000 0.0153457
50000 0.0145559
51000 0.0122475
52000 0.0120474
53000 0.0122787
54000 0.013172
55000 0.013723
56000 0.012289
57000 0.0128762
58000 0.0195736
59000 0.0140501
60000 0.015113
61000 0.0200164
62000 0.0160787
63000 0.0153156
64000 0.0155544
65000 0.0210374
66000 0.0154368
67000 0.0159868
68000 0.0162406
69000 0.0260927
70000 0.0219008
71000 0.0241246
72000 0.0173413
73000 0.017877
74000 0.019653
75000 0.0255592
76000 0.0204343
77000 0.0207364
78000 0.021281
79000 0.0203644
80000 0.0205175
81000 0.0204872
82000 0.0211638
83000 0.0238633
84000 0.0263793
85000 0.0215608
86000 0.0221625
87000 0.0279117
88000 0.024428
89000 0.0248304
90000 0.0267225
91000 0.0346341
92000 0.0300427
93000 0.0253986
94000 0.0294273
95000 0.0274326
96000 0.0261405
97000 0.031828
98000 0.0324402
99000 0.0310407
