100 0.02
150 0.03
200 0.08
250 0.18
300 0.3
350 0.47
400 0.71
450 1.02
500 1.4
550 1.84
600 2.36
650 3.04
700 3.76
750 4.66
800 5.64
850 6.8
900 8.14
950 9.56
1000 11.12
1050 13.03
1100 14.8
1150 16.86
1200 19.2
1250 21.8
1300 24.4
1350 27.51
1400 30.65
1450 34.17
1500 37.57
1550 41.23
1600 45.35
1650 49.81
1700 54.35
1750 59.3
1800 64.48
1850 70.03
1900 75.82
1950 81.94
2000 88.4
2050 96.15
2100 103.38
2150 110.87
2200 118.69
2250 127.5
2300 135.89
2350 145.87
2400 156.42
2450 166.01
